name,age,over_all_rating,nationality,club,best_over_rating,best_position,position,potential,height,weight,foot,growth,market_value,contract,cross,stamina,total_stats,base_stats,weak_foot,skill_moves,attack_work_rate,defence_work_rate,intl_reputation,pace,shooting,passing,dribbling,defense,physical,hits,phys_index,skill_index
Roque Mesa,31,77,Spain,Sevilla FC,78,CDM,CM CDM,77,173.74,73.94,Right,0,7500000.0,0,69,78,1988,430,3,3,Medium,High,2,67,64,74,77,72,76,30,73.67,71.67
David Simón,30,70,Spain,FC Cartagena,70,RB,RB RM,70,179.83,68.04,Right,0,1400000.0,0,68,90,1778,382,3,2,High,Medium,1,77,46,60,64,62,73,18,80.0,56.67
Cristian Herrera,29,67,Spain,CD Lugo,67,ST,ST RM CAM,67,155.75,76.2,Left,0,750000.0,0,61,79,1820,391,3,3,High,Medium,1,68,70,64,65,47,77,3,74.67,66.33
S. Berahino,26,71,Burundi,SV Zulte-Waregem,72,CAM,ST CAM LM,72,155.75,82.1,Right,1,2800000.0,0,62,68,1765,375,4,3,Medium,Low,2,74,72,67,73,27,62,22,68.0,70.67
A. O'Connor,27,64,Republic of Ireland,Bradford City,65,CB,CB,65,188.98,77.11,Right,1,450000.0,0,51,77,1670,359,3,2,Medium,Medium,1,65,44,56,55,62,77,4,73.0,51.67
J. Korb,27,72,Germany,Hannover 96,73,RWB,RB RWB RM,72,155.45,69.85,Right,0,2800000.0,0,75,75,1852,395,2,3,High,Medium,2,72,48,67,73,68,67,9,71.33,62.67
H. Van Crombrugge,27,77,Belgium,RSC Anderlecht,77,GK,GK,79,188.98,88.0,Left,2,7500000.0,2,12,37,1281,422,2,1,Medium,Medium,1,79,74,76,79,37,77,19,64.33,76.33
K. Zouma,25,80,France,Chelsea,82,CB,CB,83,192.02,94.8,Right,3,16500000.0,2,49,66,1887,399,3,2,Medium,Medium,2,67,51,61,56,80,84,279,72.33,56.0
Pak Kwang Ryong,26,66,Korea DPR,SKN St. Pölten,66,ST,ST,67,188.98,83.01,Right,1,775000.0,0,48,73,1723,366,3,2,Medium,Medium,1,67,65,56,59,43,76,3,72.0,60.0
R. McKenzie,26,67,Scotland,Kilmarnock,67,LM,LM LW RW,68,179.83,74.84,Right,1,900000.0,1,63,82,1817,393,3,3,High,High,1,82,57,60,70,52,72,4,78.67,62.33
M. Kennedy,25,67,Northern Ireland,Aberdeen,68,RM,LM ST RM,70,179.83,64.86,Right,3,950000.0,2,67,73,1770,382,2,3,High,Medium,1,83,59,60,70,47,63,3,73.0,63.0
Luís Neto,32,75,Portugal,Sporting CP,75,CB,CB,75,185.93,73.03,Right,0,4300000.0,1,42,64,1720,355,3,2,Low,Medium,1,61,37,55,52,77,73,8,66.0,48.0
Fede Vico,25,74,Spain,Granada CF,76,CAM,CAM RM LM,77,179.83,69.85,Left,3,7000000.0,0,75,62,1884,389,3,4,Medium,Medium,1,72,66,75,77,49,50,14,61.33,72.67
Bernardo,26,67,Spain,Granada CF,69,CB,CB,70,192.02,84.82,Right,3,850000.0,0,26,53,1444,304,3,2,Medium,Medium,1,33,39,49,42,65,76,5,54.0,43.33
A. Trajkovski,27,69,North Macedonia,RCD Mallorca,69,CAM,CAM CF ST,69,155.75,78.02,Right,0,1100000.0,2,64,62,1745,365,4,3,Medium,Low,1,73,69,65,75,26,57,8,64.0,69.67
D. Arslanagic,27,72,Belgium,KAA Gent,74,CB,CB,74,192.02,87.09,Right,2,3300000.0,1,51,70,1550,346,4,2,Medium,High,1,51,32,58,56,72,77,4,66.0,48.67
C. Forsyth,31,70,Scotland,Derby County,70,LB,LB CB,70,188.98,83.01,Left,0,1300000.0,1,73,73,1801,385,3,2,Medium,High,1,59,59,63,65,70,69,8,67.0,62.33
J. Alnwick,27,66,England,St. Mirren,66,GK,GK,69,188.98,82.1,Left,3,575000.0,1,20,41,1245,374,2,1,Medium,Medium,1,66,63,65,66,48,66,4,57.67,64.67
P. Dummett,28,75,Wales,Newcastle United,76,CB,CB LB,76,182.88,82.1,Left,1,6500000.0,1,63,67,1815,381,2,2,Medium,Medium,1,65,40,63,67,76,70,34,67.33,56.67
C. Newton,24,63,England,Cambridge United,63,RM,CM,68,155.75,69.85,Right,5,450000.0,0,60,71,1762,379,3,3,Medium,Medium,1,74,55,62,65,58,65,4,70.0,60.67
S. Kehli,29,64,France,Oud-Heverlee Leuven,64,CAM,CAM LM RM,64,192.02,79.83,Right,0,450000.0,0,53,62,1572,346,3,3,Medium,Medium,1,66,54,60,67,37,62,6,63.33,60.33
J. Locadia,26,75,Netherlands,FC Cincinnati,76,ST,ST LW LM,78,185.93,87.09,Right,3,8500000.0,0,72,66,1878,400,4,3,High,Medium,1,72,75,71,73,36,73,69,70.33,73.0
B. van Leer,28,69,Netherlands,Sparta Rotterdam,69,GK,GK,70,188.98,79.83,Right,1,875000.0,1,12,35,1178,381,2,1,Medium,Medium,1,67,71,63,69,43,68,3,56.67,67.67
S. van de Streek,27,70,Netherlands,FC Utrecht,70,CAM,CAM CM ST,70,155.75,73.94,Right,0,1900000.0,0,59,74,1920,393,3,3,High,Medium,1,66,70,66,68,58,65,3,68.33,68.0
E. Başsan,28,71,Turkey,BB Erzurumspor,71,RM,RM LW CAM,71,155.45,66.22,Left,0,2400000.0,1,71,62,1776,368,2,3,Medium,Medium,1,78,68,69,73,22,58,3,66.0,70.0
J. Brinkies,27,68,Germany,FSV Zwickau,68,GK,GK,72,188.98,87.09,Right,4,825000.0,1,10,42,1180,391,5,1,Medium,Medium,1,67,64,65,74,52,69,4,59.33,67.67
S. García,29,76,Uruguay,Godoy Cruz,76,ST,ST,76,155.75,79.83,Right,0,7500000.0,0,55,73,1868,387,4,3,High,Low,1,66,79,63,71,27,81,19,73.33,71.0
D. Koppers,26,66,Netherlands,PEC Zwolle,65,LB,LB,67,155.45,72.12,Left,1,625000.0,0,62,70,1763,372,2,3,High,High,1,70,46,59,66,64,67,3,69.0,57.0
Juan Carlos,29,73,Spain,SD Huesca,74,CAM,CM CAM ST,73,182.88,73.03,Right,0,3800000.0,0,69,72,1859,398,3,3,Medium,Medium,1,67,68,73,74,57,59,14,66.0,71.67
A. Wiegel,28,68,Germany,Waasland-Beveren,68,RB,RB,68,155.45,69.85,Right,0,775000.0,1,66,77,1875,400,3,3,Medium,Medium,1,77,62,62,67,62,70,3,74.67,63.67
E. Gyasi,28,70,Ghana,FC Dallas,69,LW,RM RW,70,185.93,76.2,Left,0,1800000.0,0,64,74,1755,390,3,3,Medium,Low,1,90,66,62,69,37,66,3,76.67,65.67
E. Zahavi,32,81,Israel,PSV,81,ST,ST LM,81,182.88,71.21,Right,0,14000000.0,1,69,77,2068,431,4,4,High,Low,1,79,82,75,83,39,73,181,76.33,80.0
Diogo Figueiras,29,74,Portugal,SC Braga,74,RWB,RWB RW,74,173.74,58.06,Right,0,4600000.0,1,72,73,1930,402,3,3,High,Medium,1,82,60,66,77,67,50,6,68.33,67.67
F. Erazo,30,73,Ecuador,Ecuador,72,CB,CB,73,195.07,86.18,Left,0,0.0,0,40,72,1503,328,2,2,Low,Medium,1,63,23,42,48,73,79,4,71.33,37.67
G. Saville,27,69,Northern Ireland,Middlesbrough,70,CM,CM,70,182.88,73.03,Left,1,1200000.0,1,68,85,1958,405,3,3,Medium,Medium,1,63,65,69,68,66,74,10,74.0,67.33
J. Sternberg,27,64,Germany,Hallescher FC,64,LB,LB LM,65,182.88,77.11,Left,1,450000.0,0,61,80,1707,368,2,3,High,Medium,1,71,48,59,61,59,70,3,73.67,56.0
C. Diop,26,65,Senegal,Montreal Impact,65,GK,GK,68,185.93,77.11,Right,3,500000.0,0,6,32,1039,364,2,1,Medium,Medium,1,68,63,60,67,43,63,11,54.33,63.33
M. Smith,31,69,Northern Ireland,Northern Ireland,69,RB,RB CB,69,155.75,71.21,Right,0,0.0,0,67,83,1796,381,4,2,High,High,1,71,43,63,65,65,74,20,76.0,57.0
P. Diamanka,30,68,Senegal,Albacete BP,70,CDM,CM CDM,68,182.88,72.12,Right,0,825000.0,0,48,80,1860,406,3,3,Medium,Medium,1,71,64,62,62,67,80,8,77.0,62.67
K. Günter,25,71,Germany,Hellas Verona,73,CB,CB,76,182.88,78.93,Right,5,2800000.0,2,32,58,1601,353,4,2,Medium,High,1,65,31,56,60,71,70,19,64.33,49.0
A. Oshilaja,27,66,England,Charlton Athletic,68,CB,CB RB,68,155.75,74.84,Right,2,675000.0,0,48,78,1536,353,3,2,Medium,Medium,1,81,26,45,57,65,79,13,79.33,42.67
B. Nugent,25,61,England,Stevenage,62,CB,CB,64,198.12,83.01,Left,3,275000.0,0,19,58,1292,278,3,2,Medium,High,1,43,35,37,31,60,72,3,57.67,34.33
J. Ralls,26,72,England,Cardiff City,74,CM,CM CDM,74,155.45,69.85,Left,2,3700000.0,1,71,78,1977,411,2,3,Medium,Medium,1,64,69,72,71,68,67,15,69.67,70.67
B. Sarr,28,77,France,Olympique de Marseille,77,RB,RB RW,77,155.45,64.86,Right,0,7500000.0,1,77,88,2088,447,3,3,Medium,Medium,1,81,70,74,76,71,75,2300,81.33,73.33
Dani Nieto,28,71,Spain,Independiente del Valle,71,CAM,CAM RW LW,71,179.83,63.05,Left,0,2400000.0,0,70,71,1775,377,2,3,Medium,Low,1,84,62,69,73,26,63,3,72.67,68.0
T. Beugelsdijk,29,66,Netherlands,Sparta Rotterdam,66,CB,CB,66,195.07,78.93,Right,0,550000.0,1,31,66,1456,308,3,3,Medium,High,1,39,39,45,44,65,76,4,60.33,42.67
R. Mahrez,29,85,Algeria,Manchester City,85,RW,RW RM,85,155.45,67.13,Left,0,37500000.0,2,83,76,2034,430,4,5,Medium,Medium,3,83,79,81,90,38,59,201,72.67,83.33
S. Elbers,28,65,Netherlands,FC Hermannstadt,65,RM,RM LW,65,176.78,66.22,Left,0,550000.0,3,57,68,1645,361,4,3,Medium,Low,1,83,61,55,70,35,57,3,69.33,62.0
P. Breier,28,65,Germany,FC Hansa Rostock,65,ST,ST RM,65,185.93,77.11,Right,0,550000.0,2,57,83,1701,361,3,3,High,High,1,69,64,57,67,33,71,4,74.33,62.67
R. Holzhauser,27,71,Austria,Beerschot AC,72,CM,CM CAM CDM,72,195.07,83.91,Left,1,2700000.0,0,72,65,1950,403,3,3,High,Medium,1,48,72,75,70,64,74,19,62.33,72.33
P. Bauer,27,73,Germany,Preston North End,75,CB,CB,75,195.07,88.0,Right,2,4200000.0,1,46,51,1573,325,3,2,Medium,Medium,1,32,45,53,45,75,75,16,52.67,47.67
K. Stöger,25,77,Austria,Fortuna Düsseldorf,77,CAM,CAM CM,78,179.83,74.84,Left,1,10500000.0,0,74,75,1862,392,3,3,Medium,Medium,1,68,67,77,78,40,62,49,68.33,74.0
R. Inniss,25,64,England,Crystal Palace,66,CB,CB,66,198.12,83.91,Right,2,500000.0,0,28,55,1376,294,3,2,Medium,High,1,45,33,42,38,61,75,17,58.33,37.67
D. Leadbitter,29,60,England,Newport County,60,RB,RB,60,182.88,76.2,Right,0,170000.0,0,52,65,1496,333,2,2,High,Medium,1,81,33,48,53,55,63,3,69.67,44.67
M. Ingram,26,65,England,Hull City,65,GK,GK,69,192.02,82.1,Left,4,500000.0,1,19,21,1022,363,3,1,Medium,Medium,1,69,64,62,68,37,63,9,51.0,64.67
F. Lewis,26,69,Netherlands,Willem II,69,RB,RB CB,70,155.75,74.84,Right,1,1100000.0,0,67,77,1817,399,2,3,High,High,1,87,47,59,68,65,73,7,79.0,58.0
M. van Buren,27,69,Netherlands,SK Slavia Praha,69,ST,ST RW,69,182.88,73.03,Right,0,1100000.0,0,62,65,1783,379,4,3,High,Medium,1,81,65,61,70,31,71,6,72.33,65.33
M. Dupé,27,71,France,Toulouse Football Club,71,GK,GK,73,185.93,84.82,Right,2,2000000.0,2,10,21,1097,392,2,1,Medium,Medium,1,73,70,62,75,45,67,4,53.67,69.0
S. Sama,27,61,Germany,Accrington Stanley,63,CB,CB,63,188.98,87.09,Right,2,275000.0,1,22,52,1306,287,2,2,Medium,High,1,52,25,37,42,59,72,11,58.67,34.67
C. Martina,29,68,Curacao,Everton,68,RB,RB,68,185.93,77.11,Right,0,750000.0,0,74,67,1833,383,3,2,Medium,Medium,1,63,52,65,64,68,71,9,67.0,60.33
Rubén Pardo,27,72,Spain,CD Leganés,72,CM,CM CAM CDM,72,155.75,68.95,Right,0,3200000.0,0,62,41,1864,383,4,3,Medium,Medium,2,55,68,73,72,62,53,16,49.67,71.0
Iñigo Martínez,29,80,Spain,Athletic Club de Bilbao,81,CB,CB,81,182.88,77.11,Left,1,14000000.0,2,51,72,1969,414,3,2,Medium,Medium,2,71,56,64,62,81,80,58,74.33,60.67
Hervías,27,73,Spain,Real Valladolid CF,73,RM,RM LM,73,179.83,67.13,Right,0,4200000.0,1,73,71,1788,378,3,4,High,Medium,1,78,64,69,77,40,50,8,66.33,70.0
M. Batshuayi,26,78,Belgium,Crystal Palace,80,ST,ST,81,185.93,91.17,Right,3,13000000.0,0,65,64,1857,395,5,4,Medium,Low,2,75,79,58,78,33,72,135,70.33,71.67
R. Ruidíaz,29,77,Peru,Seattle Sounders FC,77,ST,ST,77,173.74,66.22,Right,0,9000000.0,0,67,75,1913,400,4,4,High,Medium,1,84,79,66,77,32,62,41,73.67,74.0
L. Advíncula,30,74,Peru,Rayo Vallecano,74,RB,RB,74,155.45,79.83,Right,0,4400000.0,1,72,85,2083,449,4,3,High,Medium,1,93,64,69,75,67,81,54,86.33,69.33
G. Carmona,34,65,Peru,Sport Huancayo,65,RB,RB RM,65,188.98,93.89,Right,0,190000.0,0,58,74,1565,347,3,3,Medium,Medium,1,65,40,51,54,65,72,5,70.33,48.33
Y. Yotún,30,72,Peru,Peru,73,CM,CDM CM LB,72,176.78,68.04,Left,0,2600000.0,1,77,83,1999,416,1,3,Medium,High,1,64,66,75,73,65,73,16,73.33,71.33
D. Roef,26,72,Belgium,KAA Gent,72,GK,GK,75,188.98,87.09,Right,3,2800000.0,2,11,33,1222,404,3,1,Medium,Medium,1,75,70,64,75,50,70,7,59.33,69.67
V. Ibarbo,29,67,Colombia,Sagan Tosu,67,RM,ST RW,67,188.98,78.93,Right,0,750000.0,0,65,72,1791,398,4,3,Medium,Low,2,91,63,61,66,38,79,6,80.67,63.33
R. Bennett,27,64,England,Peterborough United,64,CB,CB,64,192.02,76.2,Right,0,400000.0,0,53,78,1583,345,3,2,Medium,Medium,1,63,39,53,54,62,74,3,71.67,48.67
R. Álvarez,32,71,Argentina,Vélez Sarsfield,71,CAM,CAM CM,71,188.98,82.1,Left,0,1800000.0,0,73,57,1896,394,2,4,High,Medium,2,59,67,72,78,52,66,7,60.67,72.33
O. Selnæs,25,74,Norway,Norway,76,CM,CM CDM,77,188.98,77.11,Left,3,7000000.0,1,69,83,2067,429,3,3,High,Medium,1,67,68,74,74,69,77,18,75.67,72.0
Mário Rui,29,79,Portugal,Napoli,79,LB,LB,79,173.74,67.13,Left,0,10500000.0,4,78,91,2046,422,3,3,High,Medium,2,82,49,72,79,73,67,48,80.0,66.67
A. Almici,27,70,Italy,Hellas Verona,70,RB,RB,71,155.45,74.84,Right,1,1800000.0,0,70,86,1822,387,3,2,High,Medium,1,81,42,64,64,61,75,6,80.67,56.67
T. Grøgaard,26,66,Norway,SK Brann,67,LWB,LB,69,155.75,73.03,Left,3,700000.0,0,64,74,1759,375,2,3,High,Medium,1,75,45,61,65,61,68,6,72.33,57.0
S. Jombati,32,63,Portugal,Oldham Athletic,63,CB,CB RB,63,182.88,74.84,Right,0,240000.0,0,53,69,1576,331,3,2,Medium,Medium,1,55,37,53,54,63,69,4,64.33,48.0
J. Derstroff,28,64,Germany,Hallescher FC,65,LW,LM RM ST,64,182.88,74.84,Left,0,450000.0,1,53,61,1625,350,3,3,Medium,Medium,1,80,61,56,68,28,57,4,66.0,61.67
W. Orban,27,79,Hungary,RB Leipzig,81,CB,CB,81,185.93,87.09,Right,2,13000000.0,1,39,68,1657,352,3,2,Medium,High,2,49,36,52,54,81,80,86,65.67,47.33
S. Savić,29,81,Montenegro,Atlético Madrid,82,CB,CB,82,188.98,81.19,Right,1,17000000.0,1,35,48,1680,362,3,2,Medium,High,2,61,35,54,56,84,72,92,60.33,48.33
S. Kroon,27,65,Sweden,Östersunds FK,65,RM,RM ST LM,65,182.88,73.03,Right,0,575000.0,0,56,61,1680,365,3,3,High,Low,1,86,58,59,65,41,56,4,67.67,60.67
A. Escoboza,27,69,Mexico,Club América,71,LM,LB CM LM,70,173.74,69.85,Left,1,1000000.0,2,74,75,1935,409,4,3,High,Medium,1,74,65,70,72,61,67,5,72.0,69.0
D. Andrade,26,64,Mexico,Santos Laguna,64,LB,LB LWB,65,170.69,63.96,Left,1,450000.0,2,62,64,1681,351,3,3,Medium,High,1,65,48,60,68,60,50,8,59.67,58.67
J. Meza,34,62,Venezuela,Estudiantes de Mérida,64,CAM,CM RM CAM,62,167.64,59.87,Right,0,150000.0,0,50,78,1709,364,3,3,High,Medium,1,82,57,59,69,49,48,5,69.33,61.67
G. Zahid,24,73,Norway,Panathinaikos FC,74,CAM,CAM CM,77,179.83,66.22,Right,4,5000000.0,0,65,74,1814,382,4,3,High,Medium,1,74,63,71,74,35,65,4,71.0,69.33
Gus Ledes,27,68,Portugal,C.D. Castellón,69,LWB,CDM CM,69,176.78,69.85,Left,1,925000.0,1,74,77,1948,403,2,3,Medium,Medium,1,68,62,71,68,65,69,10,71.33,67.0
Oriol Rosell,27,69,Spain,Orlando City SC,69,CDM,CDM CM,70,182.88,76.2,Right,1,1100000.0,0,61,60,1754,365,4,3,Low,Medium,1,44,56,66,66,66,67,5,57.0,62.67
Rafael Lopes,28,69,Portugal,Legia Warszawa,69,ST,ST,69,185.93,74.84,Right,0,1100000.0,1,51,81,1708,360,4,3,High,Medium,1,60,71,53,65,34,77,8,72.67,63.0
M. Seuntjens,28,70,Netherlands,Fortuna Sittard,71,RM,CAM ST,70,188.98,81.19,Right,0,1800000.0,1,66,77,1919,417,4,3,Medium,High,1,71,69,68,73,62,74,6,74.0,70.0
P. Olkowski B,30,68,Poland,Gazişehir Gaziantep F.K.,68,RB,RB RWB,68,182.88,76.2,Right,0,700000.0,0,65,73,1819,393,2,3,Medium,Medium,1,74,57,62,66,64,70,5,72.33,61.67
S. Schwab,29,71,Austria,PAOK,71,CDM,CDM CM,71,182.88,78.02,Left,0,2000000.0,1,69,88,1974,413,3,3,Medium,Medium,1,67,67,71,65,66,77,9,77.33,67.67
P. Hosiner,31,67,Austria,SG Dynamo Dresden,67,ST,ST,67,155.45,78.93,Right,0,675000.0,1,50,69,1693,354,3,3,Medium,Low,1,79,64,54,66,28,63,9,70.33,61.33
M. Pereyra,30,76,Uruguay,Orlando City SC,77,CAM,CM RW CAM,76,173.74,63.05,Right,0,7000000.0,0,74,73,2013,415,2,4,Medium,Medium,1,72,71,77,78,54,63,27,69.33,75.33
L. Melgarejo,29,73,Paraguay,Paraguay,73,RW,RW LB,73,155.45,74.84,Left,0,3900000.0,1,70,79,1972,416,3,4,Medium,Medium,1,82,68,66,76,55,69,16,76.67,70.0
S. Khelifi,26,67,Tunisia,FC Zürich,67,RM,RM LM,68,176.78,64.86,Right,1,900000.0,0,57,63,1654,350,3,3,Medium,Low,1,84,59,59,72,30,46,4,64.33,63.33
D. Rubio,27,66,Chile,Colorado Rapids,70,ST,CAM ST RM,67,155.75,77.11,Right,1,750000.0,1,52,74,1764,366,3,3,Medium,Medium,1,65,72,57,70,36,66,10,68.33,66.33
J. Campbell,28,74,Costa Rica,Club León,75,CAM,ST RM,74,155.45,78.02,Left,0,6000000.0,0,73,66,1988,417,2,4,Medium,Medium,2,81,74,73,75,41,73,29,73.33,74.0
J. Schoop,31,64,Denmark,Vejle Boldklub,64,CDM,CDM CM,64,179.83,68.04,Left,0,350000.0,0,54,75,1790,378,2,2,High,High,1,69,56,61,63,61,68,3,70.67,60.0
Salvador Agra,28,66,Portugal,CD Tondela,66,RM,RM LM,66,167.64,59.87,Right,0,650000.0,1,64,61,1737,366,3,3,Medium,Low,1,86,63,61,70,35,51,8,66.0,64.67
R. Ibarra,29,75,Ecuador,Club Atlas,75,RM,RM RW,75,179.83,68.95,Right,0,6500000.0,0,74,81,1942,426,3,3,High,High,1,90,65,68,76,53,74,37,81.67,69.67
Toño García,30,76,Spain,Levante UD,76,LB,LB LM,76,155.45,68.95,Left,0,6000000.0,2,80,78,2032,430,3,3,High,Medium,1,80,64,74,77,68,67,5,75.0,71.67
C. Taylor,26,77,England,Burnley,77,LB,LB,78,155.75,69.85,Left,1,9000000.0,3,77,77,1972,421,2,3,High,Medium,1,70,54,71,74,76,76,36,74.33,66.33
G. Hall,28,69,England,Middlesbrough,70,CB,CB,70,192.02,71.21,Right,1,1000000.0,2,27,59,1548,330,3,2,Low,Medium,1,61,39,48,44,68,70,3,63.33,43.67
P. Steinhart,27,68,Germany,TSV 1860 München,68,LB,LB LM,68,155.75,71.21,Left,0,800000.0,0,72,84,1873,389,3,2,Medium,Medium,1,73,54,68,62,60,72,6,76.33,61.33
R. Baca,30,71,Mexico,Cruz Azul,71,CM,CM CDM,71,176.78,66.22,Right,0,2200000.0,0,65,91,1930,411,3,3,High,High,1,76,59,70,71,60,75,7,80.67,66.67
M. Jeannin,29,64,Algeria,FC Sochaux-Montbéliard,64,GK,GK,64,188.98,81.19,Right,0,325000.0,0,15,27,1064,370,2,1,Medium,Medium,1,66,62,65,66,50,61,3,51.33,64.33
T. Leistner,29,73,Germany,Hamburger SV,73,CB,CB,73,192.02,87.09,Right,0,3400000.0,1,49,72,1654,355,3,2,Medium,Medium,1,57,37,54,53,74,80,33,69.67,48.0
S. Yesil,24,63,Germany,KFC Uerdingen 05,62,ST,ST CF,68,155.75,72.12,Right,5,500000.0,0,35,57,1530,324,3,3,Medium,Low,1,72,61,45,68,24,54,5,61.0,58.0
M. Mandron,25,63,France,Crewe Alexandra,65,ST,ST,67,192.02,82.1,Left,4,475000.0,0,47,81,1676,360,3,3,Medium,Medium,1,62,60,53,63,45,77,9,73.33,58.67
M. Koch,25,63,Netherlands,KAS Eupen,65,CB,CB,66,198.12,78.02,Right,3,425000.0,1,40,63,1433,293,3,2,Low,Medium,1,34,31,47,48,63,70,7,55.67,42.0
E. Sala,27,79,Argentina,FC Nantes,78,ST,ST,79,188.98,83.01,Right,0,13500000.0,0,59,92,1988,421,3,3,High,High,2,59,79,64,73,62,84,3,78.33,72.0
G. Mackay-Steven,29,69,Scotland,New York City FC,70,LW,RM LM,69,179.83,69.85,Left,0,1000000.0,3,66,63,1724,372,3,5,High,Medium,1,83,62,62,75,34,56,23,67.33,66.33
B. Wilson,27,61,England,Coventry City,61,GK,GK,64,185.93,73.94,Right,3,220000.0,1,18,22,1055,342,2,1,Medium,Medium,1,63,59,60,63,40,57,5,47.33,60.67
A. Ba,29,66,Senegal,Rayo Vallecano,66,CB,CB,66,201.17,78.93,Right,0,550000.0,0,35,67,1523,316,3,2,Low,Medium,1,48,38,46,41,65,78,18,64.33,41.67
Vadillo,25,74,Spain,RC Celta,75,RW,RM LM,75,155.75,69.85,Right,1,6500000.0,2,72,60,1809,388,3,4,Medium,Medium,1,86,68,68,80,34,52,25,66.0,72.0
R. Jiménez,29,84,Mexico,Wolverhampton Wanderers,84,ST,ST,84,188.98,81.19,Right,0,31000000.0,2,73,86,2120,450,4,3,High,High,3,78,82,76,82,49,83,389,82.33,80.0
D. Riascos,33,70,Colombia,Universidad Católica,69,ST,ST,70,155.75,73.03,Right,0,1100000.0,2,56,74,1785,384,3,3,High,Low,1,78,66,57,68,39,76,12,76.0,63.67
I. Tandia,25,71,Mali,Al Hazem,73,RW,ST LM RM,74,173.74,69.85,Right,3,3000000.0,1,60,78,1842,401,3,4,High,Medium,1,91,67,63,77,35,68,3,79.0,69.0
J. Blackman,26,69,England,Rotherham United,69,GK,GK,72,201.17,92.99,Right,3,950000.0,0,13,25,1090,367,2,1,Medium,Medium,1,70,69,63,73,27,65,40,53.33,68.33
T. Kane B,26,69,England,Queens Park Rangers,69,RB,RB RWB,70,155.75,69.85,Right,1,1100000.0,1,65,74,1760,379,2,3,High,Medium,1,74,52,60,66,65,62,9,70.0,59.33
M. Bueno,26,65,Mexico,Oriente Petrolero,67,ST,ST CAM,68,182.88,74.84,Right,3,675000.0,3,59,71,1743,372,3,3,High,Low,1,78,61,58,66,35,74,3,74.33,61.67
T. Nguen,24,68,Norway,Strømsgodset IF,68,RW,RM CM LM,71,179.83,59.87,Right,3,1100000.0,0,59,71,1745,386,3,3,High,Medium,1,91,63,58,73,45,56,5,72.67,64.67
J. White,28,64,Scotland,Motherwell,64,ST,ST,64,195.07,77.11,Right,0,475000.0,1,42,68,1523,332,3,2,Medium,Medium,1,65,65,48,58,28,68,4,67.0,57.0
Iván Sánchez,27,73,Spain,Birmingham City,73,RM,RM LM CM,73,173.74,63.96,Left,0,4200000.0,2,69,82,1773,379,3,3,High,Medium,1,91,59,66,77,34,52,28,75.0,67.33
A. Katai,28,73,Serbia,LA Galaxy,73,RM,RM LM,73,182.88,69.85,Right,0,4000000.0,0,70,71,1897,396,4,4,Medium,Low,1,65,72,72,76,43,68,4,68.0,73.33
Clerc,28,76,Spain,Levante UD,76,LB,LB,76,182.88,68.95,Left,0,6500000.0,1,74,89,1973,433,2,3,High,Medium,1,87,58,68,75,70,75,22,83.67,67.0
P. Camara,26,64,Senegal,Grenoble Foot 38,64,GK,GK,66,198.12,69.85,Right,2,400000.0,0,17,32,1018,366,3,1,Medium,Medium,1,70,61,59,66,50,60,3,54.0,62.0
R. Williams,26,65,Australia,Portsmouth,65,RM,RM,66,176.78,67.13,Right,1,625000.0,0,60,77,1676,362,3,3,High,High,1,78,55,59,67,40,63,9,72.67,60.33
B. Samba,26,75,Congo,Nottingham Forest,75,GK,GK,79,185.93,78.93,Left,4,6500000.0,1,10,37,1153,424,3,1,Medium,Medium,1,77,69,73,79,55,71,33,61.67,73.67
B. Mendy,25,81,France,Manchester City,82,LWB,LB,84,185.93,84.82,Left,3,19500000.0,1,87,75,2035,442,3,3,High,Low,2,80,54,77,77,77,77,249,77.33,69.33
P. Gouano,26,71,France,Amiens SC,73,CB,CB,73,185.93,78.02,Right,2,2500000.0,0,32,65,1520,334,2,2,Medium,High,1,62,25,50,51,71,75,8,67.33,42.0
D. Schütz,29,65,Austria,SKN St. Pölten,65,LM,LM RM,65,173.74,66.22,Right,0,525000.0,0,63,72,1839,378,3,2,High,Medium,1,85,62,62,66,48,55,3,70.67,63.33
B. Omrani,26,71,France,CFR Cluj,72,ST,ST LW,72,188.98,92.08,Left,1,2800000.0,0,72,81,1807,393,3,3,High,Low,1,72,69,68,71,33,80,6,77.67,69.33
M. Bauer B,28,72,Austria,Stoke City,72,RB,RB RWB,72,155.75,73.94,Right,0,2700000.0,2,73,69,1881,402,3,3,Medium,Medium,1,79,46,69,71,68,69,8,72.33,62.0
K. Guthrie,27,61,England,Bradford City,62,ST,ST,62,192.02,69.85,Right,1,300000.0,0,47,69,1630,350,3,3,Medium,Medium,1,68,61,51,62,41,67,3,68.0,58.0
D. Zbozień,31,65,Poland,Wisła Płock,65,RB,RB,65,185.93,79.83,Right,0,400000.0,0,53,81,1775,381,3,2,High,Medium,1,76,52,57,60,61,75,4,77.33,56.33
M. Sabitzer,26,83,Austria,RB Leipzig,84,CAM,CM CAM,85,155.45,76.2,Right,2,31000000.0,1,74,84,2210,466,4,3,High,High,3,80,83,80,80,65,78,227,80.67,81.0
J. Smits,27,66,Netherlands,FK Bodø/Glimt,66,GK,GK,70,192.02,67.13,Right,4,575000.0,2,13,37,1223,384,1,1,Medium,Medium,1,67,65,67,65,56,64,3,56.0,65.67
