age,over_all_rating,nationality,club,best_position,potential,height,weight,foot,market_value,contract,cross,stamina,total_stats,weak_foot,skill_moves,attack_work_rate,defence_work_rate,intl_reputation,pace,shooting,passing,dribbling,defense,physical,phys_index,skill_index
33,84,Spain,Napoli,RM,84,155.45,73.03,Right,19000000.0,0,82,88,2034,3,3,High,High,3,88,78,75,83,47,63,79.67,78.67
30,74,Scotland,Sporting Kansas City,RW,74,155.45,76.2,Left,5500000.0,0,76,82,1979,3,3,High,Medium,1,77,73,70,75,48,77,78.67,72.67
28,68,Bulgaria,Bulgaria,LM,68,155.75,73.94,Left,900000.0,0,67,78,1749,5,3,Medium,Medium,1,78,62,62,70,54,61,72.33,64.67
30,71,Cameroon,Valenciennes FC,ST,71,155.75,73.94,Right,2300000.0,0,68,65,1811,3,4,High,Low,2,87,69,65,70,31,61,71.0,68.0
34,82,Serbia,Inter,LB,82,188.98,81.19,Left,8000000.0,0,90,79,2239,3,3,High,Medium,2,68,74,81,76,82,77,74.67,77.0
31,68,Poland,Wisła Kraków,LB,68,185.93,79.83,Left,650000.0,0,65,81,1849,4,3,Medium,High,1,74,56,62,62,63,75,76.67,60.0
30,85,Hungary,RB Leipzig,GK,85,192.02,86.18,Right,26000000.0,2,16,35,1315,2,1,Medium,Medium,2,84,85,82,86,43,84,67.67,84.33
31,77,Spain,Birmingham City,CM,77,188.98,78.93,Right,7500000.0,1,47,74,1909,3,2,Medium,High,2,41,70,69,65,78,81,65.33,68.0
31,70,Italy,Lecce,ST,70,182.88,72.12,Right,1600000.0,1,35,43,1601,4,3,High,Low,1,60,72,51,69,25,59,54.0,64.0
35,71,Italy,Lecce,CB,71,188.98,82.1,Right,725000.0,0,35,54,1565,2,2,Medium,High,2,50,44,46,53,72,70,58.0,47.67
33,66,Netherlands,Sparta Rotterdam,CDM,66,185.93,79.83,Left,325000.0,0,64,72,1766,3,2,Medium,Medium,1,34,64,65,61,61,79,61.67,63.33
30,76,Italy,Bologna,CDM,76,182.88,77.11,Right,6500000.0,1,68,72,2022,3,3,High,Medium,2,68,65,75,78,73,67,69.0,72.67
31,77,Nigeria,Manchester United,ST,77,182.88,73.03,Right,8000000.0,0,66,68,1942,3,4,Medium,Low,1,73,78,65,76,42,78,73.0,73.0
32,72,Uruguay,Central Córdoba,ST,72,188.98,79.83,Right,2500000.0,0,42,67,1716,4,3,Medium,Low,1,63,74,51,66,30,74,68.0,63.67
32,80,Brazil,Fenerbahçe SK,CDM,80,188.98,78.02,Left,9500000.0,2,63,85,1982,3,3,Medium,High,3,57,60,69,69,78,82,74.67,66.0
30,76,Turkey,SV Werder Bremen,CB,76,185.93,83.01,Right,6000000.0,2,49,55,1771,4,2,Medium,Medium,3,70,37,60,67,78,71,65.33,54.67
30,68,Norway,Lech Poznań,CB,68,195.07,82.1,Right,725000.0,0,40,57,1495,3,2,Low,Medium,1,48,27,51,47,68,72,59.0,41.67
32,71,Belgium,Fulham,RB,71,155.45,72.12,Right,1500000.0,1,65,73,1901,3,3,High,Medium,1,76,51,66,73,67,70,73.0,63.33
31,75,Bulgaria,Bulgaria,CAM,75,182.88,71.21,Right,0.0,0,71,73,2022,4,4,High,Medium,2,76,74,73,74,61,70,73.0,73.67
36,61,Norway,Mjøndalen IF,CM,61,188.98,87.09,Right,80000.0,0,44,55,1607,3,2,Medium,Medium,1,30,57,57,58,50,77,54.0,57.33
32,70,Norway,SK Brann,CB,70,188.98,86.18,Left,1100000.0,0,45,61,1739,3,2,Medium,Medium,1,31,52,62,58,70,74,55.33,57.33
35,71,Slovakia,Lechia Gdańsk,GK,71,195.07,87.09,Right,650000.0,1,11,36,1098,2,1,Medium,Medium,1,74,64,64,76,36,71,60.33,68.0
28,77,Norway,Bournemouth,CF,77,182.88,82.1,Right,9000000.0,0,65,76,1962,3,4,Medium,Medium,1,87,77,68,78,38,76,79.67,74.33
29,72,Norway,Aston Villa,GK,72,195.07,89.81,Right,2200000.0,0,12,33,1223,4,1,Medium,Medium,1,72,67,77,73,48,73,59.33,72.33
32,77,Croatia,Atlético Madrid,ST,77,188.98,78.93,Right,7000000.0,0,60,64,1829,4,3,High,Low,3,63,76,64,73,42,69,65.33,71.0
32,75,Mexico,Club León,GK,75,182.88,86.18,Right,4000000.0,1,12,36,1276,2,1,Medium,Medium,1,75,70,67,78,57,79,63.33,71.67
31,69,Norway,Rosenborg BK,CB,69,192.02,89.81,Right,775000.0,0,38,62,1408,3,2,Medium,Medium,1,56,25,47,44,68,76,64.67,38.67
30,75,England,West Bromwich Albion,LB,75,155.45,69.85,Left,5500000.0,0,71,73,1958,2,3,High,Medium,2,76,57,68,72,72,70,73.0,65.67
29,69,England,Aston Villa,CM,69,182.88,84.82,Right,1000000.0,0,66,52,1900,3,3,Medium,Medium,1,53,68,70,69,59,70,58.33,69.0
28,63,England,Aalesunds FK,CM,63,188.98,76.2,Right,375000.0,0,65,54,1774,4,3,Medium,Low,1,60,62,65,63,59,64,59.33,63.33
30,74,Slovakia,PAOK,RW,74,170.69,59.87,Right,5500000.0,1,70,67,1896,5,3,High,Medium,2,82,76,72,78,37,54,67.67,75.33
31,64,Scotland,St. Mirren,CM,64,179.83,59.87,Right,375000.0,0,69,74,1819,3,2,Medium,Medium,1,64,58,66,65,59,62,66.67,63.0
31,65,Wales,Fleetwood Town,ST,65,182.88,76.2,Right,475000.0,0,45,55,1708,3,2,High,Medium,1,62,66,53,59,39,72,63.0,59.33
31,73,Wales,Stoke City,CB,73,155.75,78.93,Right,3000000.0,0,54,64,1728,3,2,Medium,Medium,1,65,34,58,62,73,73,67.33,51.33
30,73,England,Chelsea,CM,73,155.45,81.19,Right,3700000.0,1,64,50,1936,4,3,Medium,Medium,2,54,66,73,73,70,61,55.0,70.67
28,66,England,Leicester City,CM,66,155.75,86.18,Right,650000.0,0,69,52,1801,3,3,Medium,Medium,1,52,60,68,66,66,62,55.33,64.67
28,72,Italy,Panathinaikos FC,ST,72,185.93,77.11,Right,3200000.0,0,60,65,1710,3,3,Medium,Low,2,69,73,58,70,30,62,65.33,67.0
29,77,Northern Ireland,Sheffield United,CM,77,179.83,68.95,Right,8500000.0,2,80,79,2049,3,2,Medium,Medium,1,56,68,80,69,72,65,66.67,72.33
29,74,England,Watford,ST,74,185.93,73.03,Right,5500000.0,1,69,52,1880,3,3,High,High,3,76,72,67,72,43,69,65.67,70.33
31,74,Germany,1. FC Köln,GK,74,188.98,81.19,Right,3600000.0,0,15,32,1174,3,1,Medium,Medium,2,73,69,70,75,48,74,59.67,71.33
30,87,Poland,Juventus,GK,87,198.12,89.81,Right,34000000.0,3,12,45,1317,3,1,Medium,Medium,3,86,82,73,88,49,87,72.67,81.0
28,75,England,Leeds United,RB,75,185.93,72.12,Right,5500000.0,2,69,84,1833,3,3,High,Medium,1,68,51,63,68,74,75,75.67,60.67
29,72,England,West Bromwich Albion,CB,73,195.07,93.89,Right,2900000.0,0,39,68,1494,3,2,Medium,High,1,54,27,49,49,72,81,67.67,41.67
29,68,Togo,La Berrichonne de Châteauroux,RW,68,182.88,79.83,Right,900000.0,1,69,61,1750,4,3,Medium,Medium,1,69,69,66,71,31,67,65.67,68.67
27,65,Republic of Ireland,Forest Green Rovers,CB,65,188.98,79.83,Left,450000.0,0,55,72,1680,2,2,Low,Medium,1,65,45,53,54,62,77,71.33,50.67
29,77,Netherlands,Crystal Palace,LB,77,179.83,67.13,Left,7500000.0,0,69,79,2094,4,3,High,Low,1,86,68,71,76,71,71,78.67,71.67
29,75,DR Congo,Racing Club de Lens,CAM,75,176.78,63.96,Left,6500000.0,0,73,68,1929,3,4,High,Low,2,73,70,74,80,40,63,68.0,74.67
29,76,Italy,Hellas Verona,LW,76,155.75,73.03,Right,7500000.0,0,74,73,1946,3,3,High,Medium,2,73,74,72,78,45,68,71.33,74.67
29,69,Norway,Rosenborg BK,RB,69,155.45,73.94,Right,875000.0,0,67,81,1842,3,3,High,Medium,1,74,54,64,68,63,68,74.33,62.0
32,71,Russia,Russia,CDM,71,188.98,81.19,Right,0.0,0,50,78,1788,4,2,Medium,Medium,2,40,52,65,64,72,73,63.67,60.33
32,77,Mexico,Cruz Azul,RM,77,173.74,69.85,Right,7000000.0,0,76,74,1950,3,4,Medium,Low,1,73,75,75,79,46,60,69.0,76.33
30,73,Mexico,FC Juárez,CAM,73,173.74,64.86,Right,3800000.0,0,74,60,1914,4,4,High,Medium,2,63,75,74,77,34,63,62.0,75.33
33,76,Czech Republic,SV Werder Bremen,RB,76,155.75,71.21,Right,3500000.0,0,76,76,1943,2,3,Medium,Medium,2,66,51,70,75,76,72,71.33,65.33
29,83,England,Atlético Madrid,RB,83,176.78,71.21,Right,21500000.0,1,86,88,2163,4,3,High,Medium,2,73,60,81,77,79,72,77.67,72.67
30,74,Poland,Lokomotiv Moscow,LB,74,176.78,74.84,Left,4400000.0,0,75,74,2047,3,3,High,Medium,2,77,69,72,72,70,67,72.67,71.0
30,76,Netherlands,Feyenoord,CDM,76,188.98,78.93,Right,6500000.0,1,68,78,2045,4,3,Medium,High,2,67,72,71,72,72,83,76.0,71.67
30,66,New Zealand,Colchester United,CB,66,188.98,82.1,Left,525000.0,1,49,69,1545,2,2,Medium,High,1,54,32,53,49,65,76,66.33,44.67
40,69,Paraguay,Club Libertad,LW,69,179.83,72.12,Right,0.0,2,69,86,1663,2,3,Medium,Medium,1,75,60,64,68,45,65,75.33,64.0
30,62,Northern Ireland,Ross County FC,CB,62,192.02,83.01,Right,250000.0,0,33,68,1373,2,2,Medium,High,1,67,30,40,46,60,71,68.67,38.67
31,70,England,Birmingham City,CDM,70,179.83,74.84,Right,1300000.0,1,68,73,1851,3,3,Low,High,1,54,60,68,67,67,68,65.0,65.0
30,76,England,Crystal Palace,RB,76,188.98,83.01,Right,6000000.0,0,74,69,1824,3,3,Medium,High,1,61,52,67,66,78,71,67.0,61.67
30,77,Scotland,Newcastle United,RM,77,176.78,76.2,Left,8500000.0,2,82,76,2092,4,4,High,High,1,71,74,77,76,66,69,72.0,75.67
31,71,Argentina,San Lorenzo de Almagro,ST,71,195.07,88.0,Right,2100000.0,2,62,69,1858,3,3,High,Medium,2,69,69,68,71,45,74,70.67,69.33
35,75,Uruguay,Nacional de Montevideo,RM,75,170.69,64.86,Right,2900000.0,0,65,66,1836,4,3,High,High,1,79,70,65,80,34,60,68.33,71.67
34,64,Colombia,Deportivo Pasto,ST,64,182.88,73.94,Right,240000.0,0,56,49,1576,3,3,Medium,Medium,1,59,60,51,67,39,59,55.67,59.33
29,64,Republic of Ireland,Grimsby Town,RM,64,179.83,73.03,Right,450000.0,1,61,63,1670,2,3,High,Medium,1,75,58,57,66,37,64,67.33,60.33
30,67,Scotland,Coventry City,CDM,67,188.98,88.0,Right,625000.0,0,59,77,1742,3,2,Medium,Medium,1,50,52,63,59,64,74,67.0,58.0
31,70,Netherlands,FC Cincinnati,ST,70,185.93,82.1,Right,1600000.0,0,63,70,1945,4,2,Medium,Medium,2,51,75,69,67,59,72,64.33,70.33
31,72,Netherlands,Feyenoord,CB,72,185.93,76.2,Left,2300000.0,0,61,65,1867,3,3,Medium,Medium,1,37,62,71,68,72,69,57.0,67.0
37,61,China PR,Shanghai Greenland Shenhua FC,GK,61,195.07,88.0,Right,25000.0,0,22,41,1026,2,1,Medium,Medium,1,62,61,62,58,32,61,54.67,60.33
29,63,England,Southend United,GK,64,155.75,73.03,Right,300000.0,0,13,30,1101,2,1,Medium,Medium,1,64,63,62,64,29,63,52.33,63.0
36,70,Spain,Dinamo Bucureşti,GK,70,182.88,78.93,Right,300000.0,1,12,24,1240,2,1,Medium,Medium,1,71,68,63,69,54,70,55.0,66.67
27,64,Mexico,FC Juárez,ST,65,173.74,69.85,Right,525000.0,2,54,42,1617,3,3,Medium,Low,1,70,67,56,64,22,56,56.0,62.33
30,72,Spain,Cádiz CF,CB,72,185.93,78.02,Right,2500000.0,3,59,79,1819,3,2,Medium,High,1,61,53,62,60,71,80,73.33,58.33
30,73,Colombia,Girona FC,CB,73,195.07,86.18,Right,3200000.0,0,51,57,1656,3,2,Medium,High,1,43,44,58,50,72,76,58.67,50.67
32,70,Serbia,Chievo Verona,ST,70,185.93,79.83,Left,1400000.0,0,48,60,1805,3,2,Medium,Medium,2,57,72,59,66,49,73,63.33,65.67
30,64,United States,Inter Miami,LB,64,192.02,86.18,Left,350000.0,0,59,68,1824,2,3,High,Low,1,67,57,62,65,60,70,68.33,61.33
33,79,Uruguay,Girona FC,ST,79,185.93,76.2,Right,8000000.0,2,68,86,2028,3,4,Medium,Low,1,67,81,70,73,48,82,78.33,74.67
29,78,Argentina,Milan,CB,78,155.75,73.03,Right,8500000.0,0,55,61,1861,3,3,Medium,Medium,3,63,47,63,67,82,70,64.67,59.0
31,74,Mexico,Club León,RB,74,167.64,63.96,Right,4099999.9999999995,1,70,81,1970,2,3,High,Low,1,86,58,66,69,69,66,77.67,64.33
33,71,Argentina,Universidad de Chile,RB,71,155.45,74.84,Right,1100000.0,0,69,81,1895,3,3,High,Medium,1,74,60,63,68,67,74,76.33,63.67
31,71,Brazil,Shakhtar Donetsk,CAM,71,179.83,78.93,Right,2100000.0,0,65,72,1881,4,4,Medium,Medium,1,77,67,67,74,48,71,73.33,69.33
29,82,Wales,Juventus,CM,82,182.88,76.2,Right,21500000.0,2,75,89,2120,3,3,High,High,3,68,77,79,80,68,73,76.67,78.67
29,67,Northern Ireland,Hull City,ST,67,188.98,92.08,Right,750000.0,0,62,79,1792,3,2,High,Medium,1,78,63,55,61,54,84,80.33,59.67
30,65,England,Forest Green Rovers,RWB,65,155.45,78.93,Right,425000.0,0,65,76,1759,4,2,Medium,Medium,1,74,55,59,65,58,63,71.0,59.67
25,69,Brazil,Associação Académica de Coimbra,CAM,72,155.75,78.02,Right,1200000.0,0,62,73,1899,3,4,Medium,Medium,1,67,62,69,70,59,66,68.67,67.0
31,79,Germany,FC Bayern München,GK,79,195.07,87.09,Right,8000000.0,0,14,29,1182,2,1,Medium,Medium,2,79,71,68,84,40,79,62.33,74.33
30,69,Wales,Huddersfield Town,CM,69,182.88,78.93,Right,975000.0,0,59,69,1879,3,3,Medium,Medium,1,58,64,67,66,69,67,64.67,65.67
33,66,Argentina,VfR Aalen,CDM,66,182.88,83.01,Left,300000.0,0,60,73,1812,3,3,Medium,Medium,1,61,51,66,68,63,73,69.0,61.67
33,75,Japan,Vitesse,CAM,75,182.88,73.94,Left,4000000.0,0,69,62,1921,3,4,Medium,Medium,3,71,71,75,75,50,61,64.67,73.67
31,74,Serbia,Genoa,CDM,74,188.98,79.83,Right,4300000.0,0,62,64,1885,2,2,Low,High,2,53,59,70,66,73,75,64.0,65.0
31,68,England,Blackburn Rovers,RB,68,155.45,73.03,Right,650000.0,0,70,76,1831,4,3,High,High,1,73,61,66,67,64,66,71.67,64.67
31,71,England,Swansea City,RB,71,155.75,73.03,Right,1700000.0,0,67,72,1810,3,3,Medium,Medium,2,68,52,64,67,70,69,69.67,61.0
25,68,Senegal,Frosinone,GK,70,185.93,78.02,Right,875000.0,0,14,32,1108,2,1,Medium,Medium,1,75,65,51,79,54,59,55.33,65.0
28,62,Italy,Cagliari,ST,62,176.78,68.04,Right,325000.0,0,47,70,1626,3,3,High,Low,1,75,60,53,68,31,45,63.33,60.33
31,73,Italy,Hellas Verona,ST,73,188.98,78.02,Right,3600000.0,0,45,65,1800,4,3,High,Low,1,67,73,53,73,36,76,69.33,66.33
29,79,Italy,Brescia,ST,79,192.02,93.89,Right,12500000.0,1,64,62,1873,4,4,Medium,Low,4,74,82,72,78,24,74,70.0,77.33
30,75,Hungary,Shandong Luneng TaiShan FC,LB,75,188.98,82.1,Left,5500000.0,2,71,86,1743,2,2,High,Medium,1,70,34,66,61,74,79,78.33,53.67
32,70,Turkey,Gazişehir Gaziantep F.K.,LM,70,155.45,64.86,Left,1300000.0,0,70,80,2021,3,3,High,Medium,1,79,68,69,74,64,66,75.0,70.33
32,68,Peru,Peru,GK,68,182.88,82.1,Right,0.0,0,13,30,1094,2,1,Medium,Medium,1,73,67,69,61,53,68,57.0,65.67
34,70,United States,Queens Park Rangers,CB,70,192.02,83.91,Right,675000.0,0,62,68,1849,3,3,Medium,Medium,2,53,55,63,65,70,75,65.33,61.0
33,70,Honduras,Sporting Kansas City,CDM,70,155.45,82.1,Left,1000000.0,0,64,79,1977,4,3,High,High,1,56,67,68,70,69,79,71.33,68.33
32,70,Spain,UD Las Palmas,GK,70,198.12,92.08,Right,1100000.0,0,23,32,1162,2,1,Medium,Medium,1,70,69,62,70,42,71,57.67,67.0
35,72,Spain,Rayo Vallecano,GK,72,182.88,77.11,Right,850000.0,0,25,40,1275,3,1,Medium,Medium,1,72,71,71,73,63,70,60.67,71.67
32,77,Spain,Granada CF,CDM,77,155.75,72.12,Right,6000000.0,1,50,68,1924,3,3,Medium,Medium,1,44,64,73,70,74,70,60.67,69.0
31,75,Spain,Real Valladolid CF,CB,75,185.93,79.83,Right,4900000.0,1,44,78,1739,3,2,Medium,Medium,1,51,52,61,59,76,77,68.67,57.33
30,72,Serbia,FC Augsburg,CB,72,185.93,83.91,Right,2300000.0,0,53,67,1910,3,2,Medium,Medium,2,41,65,67,64,71,77,61.67,65.33
29,73,Argentina,Independiente,CB,74,185.93,78.02,Right,3800000.0,2,33,66,1539,3,2,Low,Medium,1,51,31,49,47,74,78,65.0,42.33
34,66,United States,San Jose Earthquakes,LB,66,155.45,68.04,Right,230000.0,0,67,83,1772,2,2,High,High,1,73,58,63,67,58,62,72.67,62.67
30,62,England,Oldham Athletic,LM,62,155.75,76.2,Left,275000.0,0,66,67,1767,3,3,High,Medium,1,74,61,64,65,47,62,67.67,63.33
34,70,United States,Chicago Fire,GK,70,188.98,83.01,Right,775000.0,0,10,33,1110,3,1,Medium,Medium,1,74,64,65,74,36,64,57.0,67.67
32,70,Ghana,Nottingham Forest,RM,70,185.93,73.94,Right,1400000.0,0,69,63,1833,3,3,Medium,High,1,76,67,66,70,53,64,67.67,67.67
30,77,Senegal,Crystal Palace,CB,77,188.98,83.01,Right,7500000.0,1,53,89,1961,3,3,High,High,2,67,65,62,69,78,86,80.67,65.33
29,71,Ecuador,Birmingham City,RW,71,176.78,69.85,Right,2300000.0,0,68,49,1794,3,4,High,Low,2,88,65,66,78,29,57,64.67,69.67
31,76,Ghana,Inter,CDM,76,176.78,74.84,Left,7000000.0,0,76,67,2119,3,4,High,High,2,71,68,76,79,77,72,70.0,74.33
32,69,Northern Ireland,Aberdeen,LM,69,155.45,73.03,Right,825000.0,0,67,76,1787,5,3,Medium,Low,1,74,65,64,72,34,63,71.0,67.0
32,57,Republic of Ireland,Cork City,ST,57,155.45,74.84,Right,80000.0,0,49,67,1579,2,2,Medium,Medium,1,56,56,52,53,43,70,64.33,53.67
31,68,Nigeria,Livingston FC,CB,68,192.02,69.85,Right,675000.0,0,41,61,1685,3,2,Low,Medium,1,62,44,54,64,67,74,65.67,54.0
31,71,Australia,LASK Linz,CDM,71,182.88,76.2,Right,2000000.0,2,63,90,1956,4,2,Medium,Medium,1,64,62,68,71,68,78,77.33,67.0
34,70,Latvia,Jagiellonia Białystok,GK,70,188.98,81.19,Right,775000.0,1,16,36,1192,2,1,Medium,Medium,1,72,66,65,74,37,72,60.0,68.33
31,69,Netherlands,FC Emmen,ST,69,185.93,77.11,Right,950000.0,0,75,62,1882,2,3,High,Medium,1,61,69,71,70,45,76,66.33,70.0
30,77,England,Burnley,ST,77,185.93,83.91,Right,8500000.0,1,66,74,1959,4,3,High,High,1,61,78,68,74,47,80,71.67,73.33
30,73,Germany,FC Ingolstadt 04,CDM,73,155.75,74.84,Right,3000000.0,0,72,81,1949,4,3,Medium,High,2,70,60,69,68,71,75,75.33,65.67
32,69,Germany,Fortuna Düsseldorf,GK,69,192.02,86.18,Right,650000.0,0,11,27,1067,2,1,Medium,Medium,1,70,67,65,69,33,67,54.67,67.0
29,83,Germany,Manchester City,CM,83,155.75,79.83,Right,25000000.0,2,78,69,2158,4,4,High,Medium,3,66,74,84,84,72,71,68.67,80.67
29,67,Switzerland,FC Lugano,CB,68,182.88,76.2,Left,725000.0,2,65,86,1818,3,3,Medium,High,1,74,56,61,64,65,79,79.67,60.33
31,71,Nigeria,Göztepe SK,ST,71,155.75,78.02,Right,2100000.0,1,60,64,1802,4,3,High,Medium,2,73,71,61,67,40,69,68.67,66.33
30,72,Italy,SPAL,ST,72,182.88,79.83,Right,3000000.0,0,52,63,1770,4,3,High,Low,2,65,68,58,71,27,72,66.67,65.67
27,67,France,US Créteil-Lusitanos,CB,67,155.75,73.03,Right,600000.0,0,38,69,1609,3,2,Medium,Medium,1,64,39,55,53,67,70,67.67,49.0
30,67,Mexico,Mazatlán FC,RB,67,179.83,78.93,Right,600000.0,1,68,62,1834,3,3,High,Medium,1,59,53,65,68,65,67,62.67,62.0
31,71,Netherlands,New England Revolution,LM,71,179.83,74.84,Left,2100000.0,0,76,61,2023,3,3,High,Medium,1,73,65,72,72,69,69,67.67,69.67
30,66,Mexico,Querétaro,CB,66,182.88,78.02,Left,525000.0,2,37,60,1441,3,2,Medium,Medium,1,67,24,41,53,71,60,62.33,39.33
29,75,Mexico,Mexico,GK,76,182.88,77.11,Right,5500000.0,0,11,45,1233,4,1,Medium,Medium,1,76,74,70,73,33,76,65.67,72.33
31,75,Mexico,Tigres U.A.N.L.,LB,75,179.83,73.03,Right,4800000.0,0,70,92,2069,4,3,High,High,1,73,67,72,74,69,82,82.33,71.0
29,68,Mexico,Atlético de San Luis,CM,68,173.74,77.11,Right,850000.0,0,66,53,1891,3,3,High,Low,1,65,68,69,68,59,63,60.33,68.33
31,70,Mexico,San Jose Earthquakes,CB,70,185.93,82.1,Left,1300000.0,0,61,71,1792,3,2,Medium,Medium,1,45,50,64,59,72,70,62.0,57.67
29,73,England,Cardiff City,CB,73,195.07,83.91,Right,3400000.0,1,30,62,1475,2,2,Medium,High,1,45,29,41,48,73,77,61.33,39.33
29,68,Norway,Rosenborg BK,CM,68,182.88,76.2,Right,850000.0,1,61,90,1935,3,3,High,High,1,65,65,65,65,65,79,78.0,65.0
29,72,Norway,Fulham,CM,72,182.88,78.02,Left,3000000.0,1,70,78,1985,3,3,High,High,1,68,67,73,70,67,72,72.67,70.0
30,79,France,Olympiacos CFP,CDM,79,182.88,79.83,Right,10500000.0,2,62,79,2031,3,3,Medium,Medium,2,65,62,74,73,75,77,73.67,69.67
31,80,Germany,Borussia Mönchengladbach,CAM,80,155.75,79.83,Right,13000000.0,0,74,75,2103,4,4,Medium,Medium,2,59,82,78,79,59,72,68.67,79.67
34,73,Colombia,Club Atlético Talleres,CAM,73,155.45,83.01,Right,2100000.0,0,65,67,1907,4,3,High,Low,1,65,75,74,73,42,67,66.33,74.0
31,66,Germany,SpVgg Unterhaching,CF,66,155.45,74.84,Right,575000.0,2,55,68,1637,4,3,Medium,Medium,1,71,65,54,69,25,64,67.67,62.67
30,66,England,Ipswich Town,LW,66,173.74,74.84,Right,600000.0,0,64,60,1771,3,3,High,High,1,75,64,62,69,37,59,64.67,65.0
32,68,Senegal,Hatayspor,ST,68,185.93,78.93,Right,725000.0,0,64,67,1902,3,3,Medium,Medium,2,75,68,60,66,65,75,72.33,64.67
28,66,Mexico,Club Necaxa,LB,66,173.74,76.2,Left,550000.0,1,69,68,1795,2,3,Medium,Medium,1,64,51,61,64,65,62,64.67,58.67
31,69,Mexico,Guadalajara,LB,69,179.83,83.01,Left,750000.0,0,67,80,1839,4,3,High,Medium,1,68,54,62,65,64,79,75.67,60.33
30,73,Peru,Peru,CB,73,185.93,83.01,Right,3200000.0,2,51,61,1748,3,2,Low,High,2,56,48,57,66,74,74,63.67,57.0
28,68,England,Coventry City,ST,68,185.93,78.02,Right,925000.0,1,42,72,1706,3,2,High,Medium,1,65,68,52,66,31,67,68.0,62.0
33,70,Mexico,Club América,LB,70,176.78,63.96,Left,800000.0,0,70,71,1901,2,3,Medium,Medium,1,64,58,68,69,68,66,67.0,65.0
30,64,Jamaica,Yeovil Town,CB,64,182.88,76.2,Left,325000.0,0,57,77,1681,2,2,High,Medium,1,84,35,55,64,61,71,77.33,51.33
30,70,Mexico,Deportivo Toluca,GK,70,182.88,77.11,Right,1200000.0,1,15,30,1221,3,1,Medium,Medium,1,71,68,69,68,43,69,56.67,68.33
30,67,Mexico,Guadalajara,GK,68,182.88,78.93,Right,600000.0,0,13,39,1072,3,1,Medium,Medium,1,65,67,66,71,43,65,56.33,68.0
30,65,Mexico,Club Tijuana,RB,65,176.78,72.12,Right,425000.0,1,60,74,1622,3,2,Medium,Medium,1,68,32,54,60,62,75,72.33,48.67
29,64,Mexico,Tiburones Rojos de Veracruz,LB,64,167.64,68.95,Left,375000.0,1,62,76,1774,2,3,High,Medium,1,70,53,61,64,60,62,69.33,59.33
30,71,Mexico,Santos Laguna,CB,71,182.88,78.93,Right,1900000.0,0,44,70,1667,2,2,Low,Medium,1,50,48,52,54,71,78,66.0,51.33
29,72,Brazil,Lazio,CB,72,185.93,82.1,Right,2400000.0,0,40,54,1701,3,2,Medium,Medium,2,61,47,53,54,71,73,62.67,51.33
36,59,Czech Republic,Malmö FF,GK,59,198.12,94.8,Right,25000.0,0,14,42,997,2,1,Medium,Medium,1,62,53,56,64,27,58,54.0,57.67
31,67,Sweden,Sarpsborg 08 FF,ST,67,185.93,83.01,Right,675000.0,0,63,66,1757,2,3,Low,Medium,1,53,69,64,68,44,77,65.33,67.0
27,68,Sweden,Incheon United FC,LM,68,176.78,66.22,Right,950000.0,0,60,80,1828,3,3,Medium,Medium,1,73,64,64,67,47,65,72.67,65.0
34,65,Korea Republic,Sagan Tosu,ST,65,155.75,74.84,Right,275000.0,0,50,62,1612,3,3,High,Medium,1,70,62,55,58,28,68,66.67,58.33
29,78,Russia,Russia,RB,78,155.45,69.85,Right,0.0,0,73,93,2028,3,3,High,High,2,85,61,72,73,74,75,84.33,68.67
29,63,Mexico,U.N.A.M.,GK,64,182.88,83.01,Right,300000.0,0,15,40,1097,3,1,Medium,Medium,1,64,61,67,61,44,57,53.67,63.0
31,65,Mexico,Deportivo Pasto,CAM,65,155.45,67.13,Right,475000.0,1,57,63,1683,3,3,Medium,Medium,1,72,61,62,64,43,57,64.0,62.33
31,75,Mexico,Pachuca,CDM,75,173.74,78.02,Right,5000000.0,1,64,92,1999,3,3,Medium,High,1,66,60,71,69,70,79,79.0,66.67
31,66,Algeria,BB Erzurumspor,RM,66,179.83,73.94,Right,575000.0,0,65,68,1615,3,3,Medium,Medium,1,73,53,63,71,31,56,65.67,62.33
33,79,Ecuador,Ecuador,CM,79,182.88,74.84,Right,0.0,0,74,90,2168,3,4,High,High,2,73,71,78,77,75,76,79.67,75.33
33,70,Mexico,Club Necaxa,CB,70,185.93,81.19,Right,850000.0,0,50,70,1524,2,2,Medium,High,1,32,37,52,50,71,78,60.0,46.33
29,67,Republic of Ireland,Coventry City,CB,67,192.02,81.19,Right,600000.0,0,66,62,1833,3,2,Low,High,1,48,64,62,62,67,74,61.33,62.67
30,76,Russia,Lokomotiv Moscow,CF,76,188.98,79.83,Right,7500000.0,1,68,73,1939,3,4,High,Medium,1,82,75,71,76,32,72,75.67,74.0
31,68,Austria,SK Sturm Graz,LM,68,155.75,68.95,Right,775000.0,0,71,70,1750,4,3,Medium,Medium,1,68,68,69,66,39,57,65.0,67.67
27,70,Brazil,FC Arouca,ST,70,182.88,79.83,Right,1400000.0,0,49,54,1750,4,3,Medium,Low,1,66,70,61,68,37,62,60.67,66.33
31,73,Russia,PFC CSKA Moscow,CB,73,195.07,83.01,Right,3000000.0,0,51,60,1712,3,2,Medium,Medium,1,67,41,58,45,74,74,67.0,48.0
